ID de canal,URL del canal,Títol del canal
UC6glMfOX3W3GzVDGenn-cfQ,http://www.youtube.com/channel/UC6glMfOX3W3GzVDGenn-cfQ,BILLAR 2 LLEIDA
UC6zybbtpqikwJmuEbkmHisw,http://www.youtube.com/channel/UC6zybbtpqikwJmuEbkmHisw,BILLAR LIBRE Y GOGO
UC7URb8yEpRPhDeNnfAi001Q,http://www.youtube.com/channel/UC7URb8yEpRPhDeNnfAi001Q,Banyoles Televisió - Pla de l'Estany
UC7vrs96QT9uq16QWqB3aPyw,http://www.youtube.com/channel/UC7vrs96QT9uq16QWqB3aPyw,우컴스포츠
UC8TiwIIzS1vNHd1W0Z1lpuQ,http://www.youtube.com/channel/UC8TiwIIzS1vNHd1W0Z1lpuQ,Club Billar Sant Adrià - BILLAR 1
UC9XbAzqINqIMyQ41xujKnaQ,http://www.youtube.com/channel/UC9XbAzqINqIMyQ41xujKnaQ,Reydama
UC9d1GsXrTZ80jMkyV9RQzwg,http://www.youtube.com/channel/UC9d1GsXrTZ80jMkyV9RQzwg,Barcelona Billar 3
UC9mlE5Ly4-D7mZ-3r7yjE6A,http://www.youtube.com/channel/UC9mlE5Ly4-D7mZ-3r7yjE6A,Billar 2 Mont-roig
UC9xHdBNYXuj5CtbpXz28EiQ,http://www.youtube.com/channel/UC9xHdBNYXuj5CtbpXz28EiQ,Club Billar Sant Adrià - BILLAR 2
UCA6XEJ2sAQxRt7vDvZssbKw,http://www.youtube.com/channel/UCA6XEJ2sAQxRt7vDvZssbKw,Cervera Billar 4
UCAIWqLIbQrP-nms1jY7708Q,http://www.youtube.com/channel/UCAIWqLIbQrP-nms1jY7708Q,Coral Colon Billar 4
UCALxXBaeoCIPvZvScoQtYFA,http://www.youtube.com/channel/UCALxXBaeoCIPvZvScoQtYFA,Jaume Carreras
UCAMI1S2nriG5yc6v418gvBw,http://www.youtube.com/channel/UCAMI1S2nriG5yc6v418gvBw,AntonioRuiz Billar
UCAhFiQXIVozRExvpiilN7lw,http://www.youtube.com/channel/UCAhFiQXIVozRExvpiilN7lw,Leon Millonario Billar
UCAwhAr0UJrAOFQKAAilRhEg,http://www.youtube.com/channel/UCAwhAr0UJrAOFQKAAilRhEg,Club Billar Alcalá
UCBHlmC1BslTR5tOTycMBO1Q,http://www.youtube.com/channel/UCBHlmC1BslTR5tOTycMBO1Q,Real Federación Española de Billar
UCBYIyO1rB1FuolZJNmtGNBg,http://www.youtube.com/channel/UCBYIyO1rB1FuolZJNmtGNBg,Club Billar Lleida
UCBcPgiXkb6Am3kcX80cJW6A,http://www.youtube.com/channel/UCBcPgiXkb6Am3kcX80cJW6A,Cervera Billar 3
UCBw6N12bZmqW1LAKp-MhNzg,http://www.youtube.com/channel/UCBw6N12bZmqW1LAKp-MhNzg,Club Billar Lleida 3
UCByss4QQnxZd-kBmNeJT5RA,http://www.youtube.com/channel/UCByss4QQnxZd-kBmNeJT5RA,Club Billar Novelda
UCC9BHOovePOmeqRXU-GNESw,http://www.youtube.com/channel/UCC9BHOovePOmeqRXU-GNESw,Gipsy Chef TV
UCC_ynkcKNWHwp8ARQCUuNLg,http://www.youtube.com/channel/UCC_ynkcKNWHwp8ARQCUuNLg,Universidad del Billar
UCDF1v4SsKwQWdKbN7sUb09w,http://www.youtube.com/channel/UCDF1v4SsKwQWdKbN7sUb09w,Pabloker
UCEK4JIyVW7OEJSKjMzxJHmg,http://www.youtube.com/channel/UCEK4JIyVW7OEJSKjMzxJHmg,Club Billar Caravaca
UCEbNK3YAKIGTLRCtPQvpbTQ,http://www.youtube.com/channel/UCEbNK3YAKIGTLRCtPQvpbTQ,撞球達士
UCEy8Kt3skfnGx3rv6TU1iHg,http://www.youtube.com/channel/UCEy8Kt3skfnGx3rv6TU1iHg,CLUB BILLAR SANTS - BILLAR 5
UCEz8UUJkAEhJTs-E0jKk1PA,http://www.youtube.com/channel/UCEz8UUJkAEhJTs-E0jKk1PA,Lliça Billar 1
UCF9dHN1dj7QVElP6i3U4igA,http://www.youtube.com/channel/UCF9dHN1dj7QVElP6i3U4igA,Lliça Billar 2
UCFFjnjOuGUMdwalt3EexnCg,http://www.youtube.com/channel/UCFFjnjOuGUMdwalt3EexnCg,BorgesBillar3
UCFfLvkS2hTIXop-r-wTlXcQ,http://www.youtube.com/channel/UCFfLvkS2hTIXop-r-wTlXcQ,Monforte Billar 1
UCFpmxFzVEIHUjNkCWwKWzjQ,http://www.youtube.com/channel/UCFpmxFzVEIHUjNkCWwKWzjQ,Coral Colon Billar 3
UCGsmBDca83CEaNJRUApZa8A,http://www.youtube.com/channel/UCGsmBDca83CEaNJRUApZa8A,CLUB BILLAR SANTS - BILLAR 7
UCH9dC2kl_uUwWdTUaBJSgOg,http://www.youtube.com/channel/UCH9dC2kl_uUwWdTUaBJSgOg,GJ Billiards
UCI5SCiRL7n8DuvfUAUlT5Rw,http://www.youtube.com/channel/UCI5SCiRL7n8DuvfUAUlT5Rw,Taula 1 - Club Billar Mataró
UCILLzRYeUtd74i46j2h3aWQ,http://www.youtube.com/channel/UCILLzRYeUtd74i46j2h3aWQ,Club Billar Lleida 2
UCIVnmnCjM9EcUBLXORiK1OA,http://www.youtube.com/channel/UCIVnmnCjM9EcUBLXORiK1OA,Billar 1 Vic
UCIWioJFTM7gtDsnhYV_LkgA,http://www.youtube.com/channel/UCIWioJFTM7gtDsnhYV_LkgA,El Aprendiz del Billar
UCIozKc9Toz66y2am4-nWxAA,http://www.youtube.com/channel/UCIozKc9Toz66y2am4-nWxAA,Banyoles Billar 1
UCIy2d7-zhSNrQiJISbzKfLw,http://www.youtube.com/channel/UCIy2d7-zhSNrQiJISbzKfLw,CLUB BILLAR SANTS - BILLAR 6
UCJIZMok_h5lL1Bdx-n5DG2A,http://www.youtube.com/channel/UCJIZMok_h5lL1Bdx-n5DG2A,Alexander Salazar Billiards
UCJjxV_pXCrFDH8ApNLmcPYw,http://www.youtube.com/channel/UCJjxV_pXCrFDH8ApNLmcPYw,BorgesBillar1
UCJk0IyN2gNficW43ZFFajxw,http://www.youtube.com/channel/UCJk0IyN2gNficW43ZFFajxw,Billar 3 Tarragona
UCKg4lz9gL18sxJIX8SvpYow,http://www.youtube.com/channel/UCKg4lz9gL18sxJIX8SvpYow,Cervera Billar 2
UCLXoYu5z5Gu_CmrbVeWVxDg,http://www.youtube.com/channel/UCLXoYu5z5Gu_CmrbVeWVxDg,C.B. Monforte
UCMe7BWxuJs9nPYcDbS04gPA,http://www.youtube.com/channel/UCMe7BWxuJs9nPYcDbS04gPA,FMB Vallecas Madrid
UCN2fPTT0iAZV06l1yxOmCdA,http://www.youtube.com/channel/UCN2fPTT0iAZV06l1yxOmCdA,Chef Amadeo
UCNBu-XnsRRKZBSsloV8d6rA,http://www.youtube.com/channel/UCNBu-XnsRRKZBSsloV8d6rA,Mike's Live Biljartstudio
UCNGJm0GwZppezlB_9ChL30g,http://www.youtube.com/channel/UCNGJm0GwZppezlB_9ChL30g,Billar 3 Vic
UCNn1Tmh53ejJUXhfSDv3Hfg,http://www.youtube.com/channel/UCNn1Tmh53ejJUXhfSDv3Hfg,BILLAR 3 LLEIDA
UCNpywgy_b-MS8fOZ3KMJrPA,http://www.youtube.com/channel/UCNpywgy_b-MS8fOZ3KMJrPA,Club Billar Pool Denia y la Marina Alta
UCO0I4CwABojhuotU8jPZzoA,http://www.youtube.com/channel/UCO0I4CwABojhuotU8jPZzoA,Club Billar Valencia cam 1
UCOEBbYr6OYOuwwCYQqOcHcQ,http://www.youtube.com/channel/UCOEBbYr6OYOuwwCYQqOcHcQ,José A. Gómez
UCOHccUJBMW-W4yDgvf2QjUg,http://www.youtube.com/channel/UCOHccUJBMW-W4yDgvf2QjUg,Barcelona Billar 2
UCOVfq3NNYjlYCz1iou69FwQ,http://www.youtube.com/channel/UCOVfq3NNYjlYCz1iou69FwQ,Anna Cramling
UCOWby67o_7DONPFu1h9VgVg,http://www.youtube.com/channel/UCOWby67o_7DONPFu1h9VgVg,BILLAR 4 LLEIDA
UCOkHTGoB6MGivKS2DBcuTTQ,http://www.youtube.com/channel/UCOkHTGoB6MGivKS2DBcuTTQ,CLUB BILLAR SANTS - BILLAR 4
UCOlTp2F2gcdFxyDG0EEiDbw,http://www.youtube.com/channel/UCOlTp2F2gcdFxyDG0EEiDbw,CLUB BILLAR SANTS
UCOwcct1FjXWzlvmQxaR4Y8Q,http://www.youtube.com/channel/UCOwcct1FjXWzlvmQxaR4Y8Q,Kozoom Carom
UCP_XlorHetfQ7S5CJw4I8gg,http://www.youtube.com/channel/UCP_XlorHetfQ7S5CJw4I8gg,Club Billar Sant Adrià
UCPqOow5DLA1eFcj2ji8nmyw,http://www.youtube.com/channel/UCPqOow5DLA1eFcj2ji8nmyw,Billar 1 Tarragona
UCQ38v8NrCv9pdXrE1Jj2hhw,http://www.youtube.com/channel/UCQ38v8NrCv9pdXrE1Jj2hhw,Anna Cramling Español
UCRzcLQNBq9NLPQro3Fztzdw,http://www.youtube.com/channel/UCRzcLQNBq9NLPQro3Fztzdw,HT Billiards Channels
UCSCI6PC7st_sIILtW3bdCvg,http://www.youtube.com/channel/UCSCI6PC7st_sIILtW3bdCvg,Monforte Billar 4
UCSKdMvThjobgLwspiywb0Pw,http://www.youtube.com/channel/UCSKdMvThjobgLwspiywb0Pw,Billard Club Pézenas
UCSPKJtODPJQNByDOPimZeRw,http://www.youtube.com/channel/UCSPKJtODPJQNByDOPimZeRw,ASOCIACIÓN BILLAR PALMA
UCSTJqieJGaSboyBihH58ocw,http://www.youtube.com/channel/UCSTJqieJGaSboyBihH58ocw,elprofedebillar
UCSs9k7YoYv7Nt1mB6KZBRTQ,http://www.youtube.com/channel/UCSs9k7YoYv7Nt1mB6KZBRTQ,Granollers Billar 1
UCTZhhkh0po7TgRmJ6qy7UUw,http://www.youtube.com/channel/UCTZhhkh0po7TgRmJ6qy7UUw,Monforte Billar 2
UCTbIayG4AcjQHUSUqcKsDUQ,http://www.youtube.com/channel/UCTbIayG4AcjQHUSUqcKsDUQ,A Què Juguem?
UCUe403LWY9NGRUAglIM2Lug,http://www.youtube.com/channel/UCUe403LWY9NGRUAglIM2Lug,Billar 2 Tarragona
UCUeHOxd6FPWXexnTEKCMwqg,http://www.youtube.com/channel/UCUeHOxd6FPWXexnTEKCMwqg,cbsantfeliu1
UCV2ZuUJUt9UVQZndH9_RuPw,http://www.youtube.com/channel/UCV2ZuUJUt9UVQZndH9_RuPw,BILLAR EN CASA HD
UCV4Dsyr-mN3cbkRECZFUG4Q,http://www.youtube.com/channel/UCV4Dsyr-mN3cbkRECZFUG4Q,J Lazo
UCV4n0mgnRWigOksGnxnHtPw,http://www.youtube.com/channel/UCV4n0mgnRWigOksGnxnHtPw,Billar 4 Manresa
UCVD7AMt6bFNT-GAFWTZ-rOg,http://www.youtube.com/channel/UCVD7AMt6bFNT-GAFWTZ-rOg,Escuela de 3 bandas para todos
UCVFfhZAoMAAVFwv3Q-57dqA,http://www.youtube.com/channel/UCVFfhZAoMAAVFwv3Q-57dqA,cbsantfeliu3
UCVGd212mAPEAC-TNA7QNxHg,http://www.youtube.com/channel/UCVGd212mAPEAC-TNA7QNxHg,Club Billar Vic
UCVtHS-KennLO41y24znwD_A,http://www.youtube.com/channel/UCVtHS-KennLO41y24znwD_A,William Goldstein
UCW9ZsaFLC5gKcNhYT-BL0Xg,http://www.youtube.com/channel/UCW9ZsaFLC5gKcNhYT-BL0Xg,Taula 2 Club Billar Mataró
UCWEKJsLYJkIe68XhIYCvK_Q,http://www.youtube.com/channel/UCWEKJsLYJkIe68XhIYCvK_Q,CLUB BILLAR SANTS - BILLAR 8
UCWIPUDNGkeQfvUs3-po63Lg,http://www.youtube.com/channel/UCWIPUDNGkeQfvUs3-po63Lg,Taula4 Club Billar Mataró
UCWULxpS9SLf2ox-Aalw2hLw,http://www.youtube.com/channel/UCWULxpS9SLf2ox-Aalw2hLw,Xavier Gretillat - Billiard E-Learning
UCWc-MWk2-g8J6F5Aq1YdSaQ,http://www.youtube.com/channel/UCWc-MWk2-g8J6F5Aq1YdSaQ,Taula 3 Club Billar Mataró
UCX157OX4gAKCPOOBB1DOQOQ,http://www.youtube.com/channel/UCX157OX4gAKCPOOBB1DOQOQ,Timo Peters Billiards
UCXP11Q8vOaL_QxckBhsCYSw,http://www.youtube.com/channel/UCXP11Q8vOaL_QxckBhsCYSw,Anna Cramling Plus
UCXUlvTmJB9fpnquujYKy-sA,http://www.youtube.com/channel/UCXUlvTmJB9fpnquujYKy-sA,Club Billar Canet de mar
UCXh2hyij01gLejZ6vVRYj4w,http://www.youtube.com/channel/UCXh2hyij01gLejZ6vVRYj4w,BoyBao TV
UCXkumoL_rVqHCW5aDBikzXQ,http://www.youtube.com/channel/UCXkumoL_rVqHCW5aDBikzXQ,Billar 4 Vic
UCYG3UOPIDT2E0lLxW3bHkQw,http://www.youtube.com/channel/UCYG3UOPIDT2E0lLxW3bHkQw,Club Billar Valladolid
UCbrPrCRcQKZSmK3lZ7VxNJQ,http://www.youtube.com/channel/UCbrPrCRcQKZSmK3lZ7VxNJQ,3 Cushion Billiards World
UCbtzHgezYeqLq01yfr0t8Ng,http://www.youtube.com/channel/UCbtzHgezYeqLq01yfr0t8Ng,Cervera Billar 1
UCbz7mfWjfS6EVqw24TPazmg,http://www.youtube.com/channel/UCbz7mfWjfS6EVqw24TPazmg,Colmado Singular
UCc-HRok4bklL4QB8E5CYo4g,http://www.youtube.com/channel/UCc-HRok4bklL4QB8E5CYo4g,Coral Colon Billar 1
UCccfwKIQC1pcvG9ijxVKSIA,http://www.youtube.com/channel/UCccfwKIQC1pcvG9ijxVKSIA,Club Billar Llinars
UCd12rKLLeWYU7fFnUqIFttg,http://www.youtube.com/channel/UCd12rKLLeWYU7fFnUqIFttg,3 Cushion Billiards EZ
UCdY976-ZJd5g_Q6X92PjDzg,http://www.youtube.com/channel/UCdY976-ZJd5g_Q6X92PjDzg,Club Deportivo Amigos Culipardos del Billar
UCdYu6HdiSdmnMutvyRV-tSA,http://www.youtube.com/channel/UCdYu6HdiSdmnMutvyRV-tSA,FEDERACION DE BILLAR COMUNIDAD VALENCIANA
UCdZUs67fC0R2LmzeB3XEWgg,http://www.youtube.com/channel/UCdZUs67fC0R2LmzeB3XEWgg,FEDERACIÓ CATALANA DE BILLAR
UCeTXcfn573Ht4M62QKR6YMg,http://www.youtube.com/channel/UCeTXcfn573Ht4M62QKR6YMg,Club Billar Mataró
UCecqg8Fyt5DVlD9XF9EfFrQ,http://www.youtube.com/channel/UCecqg8Fyt5DVlD9XF9EfFrQ,Roberto Arana
UCee6aIK_OmI0LKOvRAwAjTQ,http://www.youtube.com/channel/UCee6aIK_OmI0LKOvRAwAjTQ,Billar 3 Molins
UCfM_Dno4UOsXieD0i0DIY4Q,http://www.youtube.com/channel/UCfM_Dno4UOsXieD0i0DIY4Q,Night Café
UCfgONRnr1kuBULeoinL-6YQ,http://www.youtube.com/channel/UCfgONRnr1kuBULeoinL-6YQ,[FEBICA] Sistemasbillar3bandas
UCfwf5LTzLq88guMvu3VkaUQ,http://www.youtube.com/channel/UCfwf5LTzLq88guMvu3VkaUQ,Catalunya Ràdio
UCg95snZ97_qAj1hYmLcg1Fw,http://www.youtube.com/channel/UCg95snZ97_qAj1hYmLcg1Fw,Billar 3 Mont-roig
UCh6xrhg3ZFa794Yie3ywyjg,http://www.youtube.com/channel/UCh6xrhg3ZFa794Yie3ywyjg,Club Billar Lleida 4
UCiECbtkV0cph2Gu0Qs0iBiA,http://www.youtube.com/channel/UCiECbtkV0cph2Gu0Qs0iBiA,Billar 1 Molins
UCk9YLBgxJVhWrsjLcrn7qwA,http://www.youtube.com/channel/UCk9YLBgxJVhWrsjLcrn7qwA,Billar 1 Manresa
UCkn9nPsmOA2Kc4UsEWtfklQ,http://www.youtube.com/channel/UCkn9nPsmOA2Kc4UsEWtfklQ,BorgesBillar2
UCkvCZqymisfM0F16Sm3349w,http://www.youtube.com/channel/UCkvCZqymisfM0F16Sm3349w,Club Billar Ayamonte
UClDCDgWvhOiLDgl-HCr87kw,http://www.youtube.com/channel/UClDCDgWvhOiLDgl-HCr87kw,Fone Jr.
UClPb3P4bHQkhWvtBuaXwCNg,http://www.youtube.com/channel/UClPb3P4bHQkhWvtBuaXwCNg,Billar Mostoles
UCltOWKtvhMwAZQgxvifjVtA,http://www.youtube.com/channel/UCltOWKtvhMwAZQgxvifjVtA,Billar 1 Mont-roig
UCn3bwzP8wihXAkBaN_hbUTA,http://www.youtube.com/channel/UCn3bwzP8wihXAkBaN_hbUTA,Gandia Billar Club - Directo
UCnvAVkFdtlOyu4O8tFN0ZQg,http://www.youtube.com/channel/UCnvAVkFdtlOyu4O8tFN0ZQg,Los Enemigos De Barry
UCnxFpglOqmIXLKPv6tf_q-g,http://www.youtube.com/channel/UCnxFpglOqmIXLKPv6tf_q-g,Club Billar Sant Adrià - BILLAR 3
UCoRBuDdUGSDDCEuaFUrrD6A,http://www.youtube.com/channel/UCoRBuDdUGSDDCEuaFUrrD6A,Billar 2 Vic
UCoTdUYscGMAB5zrhmTbi3Ug,http://www.youtube.com/channel/UCoTdUYscGMAB5zrhmTbi3Ug,Monpetitbillard
UCowNjyJZVYi7AqUwvoDxJqw,http://www.youtube.com/channel/UCowNjyJZVYi7AqUwvoDxJqw,Baeza Billar
UCoy0jInzaCfMTirQJTWRtlA,http://www.youtube.com/channel/UCoy0jInzaCfMTirQJTWRtlA,Billar 3 Manresa
UCp0Avlg0G06qbNsz1SR7iUw,http://www.youtube.com/channel/UCp0Avlg0G06qbNsz1SR7iUw,3C Billiards BM
UCpkOaTxfSpYa6npVpBcn-TA,http://www.youtube.com/channel/UCpkOaTxfSpYa6npVpBcn-TA,Fred Caudron
UCq5opK7Myi4DB6VnBakxcWw,http://www.youtube.com/channel/UCq5opK7Myi4DB6VnBakxcWw,Ainhoa Singular
UCr82cEllWDAWVwC0PQH_NHQ,http://www.youtube.com/channel/UCr82cEllWDAWVwC0PQH_NHQ,Granollers Billar 3
UCrJ-OEolzEnigssxldd4l1g,http://www.youtube.com/channel/UCrJ-OEolzEnigssxldd4l1g,Banyoles Billar 4
UCrQ1rEv4I6XRhdTYRsrEDsg,http://www.youtube.com/channel/UCrQ1rEv4I6XRhdTYRsrEDsg,Billar 4 Molins
UCs2UntXH35vUcGZtL4FdsFA,http://www.youtube.com/channel/UCs2UntXH35vUcGZtL4FdsFA,AM Billiard Academy
UCsML2_kDClBKP0VMUUMd12Q,http://www.youtube.com/channel/UCsML2_kDClBKP0VMUUMd12Q,Club Billar 2000 Cerdanyola - Billar 1
UCsbBBXU9y7vyZeZboSGuKvQ,http://www.youtube.com/channel/UCsbBBXU9y7vyZeZboSGuKvQ,Banyoles Billar 2
UCt1s0StHWo6oyawmmxmZASw,http://www.youtube.com/channel/UCt1s0StHWo6oyawmmxmZASw,CLUB BILLAR SANTS - BILLAR 1
UCtRVxqkjtPxwil3vM1ntCyA,http://www.youtube.com/channel/UCtRVxqkjtPxwil3vM1ntCyA,Jose de Cabo
UCuXTHFVxa6tPC_jmqwpyOUA,http://www.youtube.com/channel/UCuXTHFVxa6tPC_jmqwpyOUA,PBA TV
UCuumNJ6s3fFg9nxEjJNvtjA,http://www.youtube.com/channel/UCuumNJ6s3fFg9nxEjJNvtjA,acbillar
UCvaTe4PNTiW4HMjIIc3W3QA,http://www.youtube.com/channel/UCvaTe4PNTiW4HMjIIc3W3QA,Granollers Billar 4
UCw4lTndxGlhu74xVbw8bkzg,http://www.youtube.com/channel/UCw4lTndxGlhu74xVbw8bkzg,Monforte Billar 3
UCwDEC-aUFBv9MJ2Ra3PaQQQ,http://www.youtube.com/channel/UCwDEC-aUFBv9MJ2Ra3PaQQQ,BILLAR ALBA
UCwLYL5CIFXXOqaS7kJly3gQ,http://www.youtube.com/channel/UCwLYL5CIFXXOqaS7kJly3gQ,CLUB BILLAR SANTS - BILLAR 2
UCwQ7_xtpVbhvyshqu30OgVA,http://www.youtube.com/channel/UCwQ7_xtpVbhvyshqu30OgVA,Club Billar Valencia cam 4
UCwvL0aQTq-gwPJtWnsuNj0Q,http://www.youtube.com/channel/UCwvL0aQTq-gwPJtWnsuNj0Q,Yeu Bida 3C
UCx17qHHbTj0yXWKqBqN6B2A,http://www.youtube.com/channel/UCx17qHHbTj0yXWKqBqN6B2A,Billar 2 Manresa
UCx9IDfu92GtNbiWR-qa1mMw,http://www.youtube.com/channel/UCx9IDfu92GtNbiWR-qa1mMw,Anonymous Billiards
UCyXPeJgcUAnyvqHhXClVu5g,http://www.youtube.com/channel/UCyXPeJgcUAnyvqHhXClVu5g,Rey Enigma
UCys9mBJEz6PkYiQGnjQBjtw,http://www.youtube.com/channel/UCys9mBJEz6PkYiQGnjQBjtw,ITALO CASTILLO
UCzAcYT_zYeb51V5KnrdYjHg,http://www.youtube.com/channel/UCzAcYT_zYeb51V5KnrdYjHg,Club Madrid Escuela Nacional de Billar
UCzcBCMAo1YL_RxYXF4t30BA,http://www.youtube.com/channel/UCzcBCMAo1YL_RxYXF4t30BA,les billes en paquet
UCzu2mJVlqPS--n3yF35geYg,http://www.youtube.com/channel/UCzu2mJVlqPS--n3yF35geYg,Magic Billiards
